"geo","ee.fec.necp","eed.recast","name"
"BE","low","no position","Belgium"
"BG","very low","less ambition","Bulgaria"
"CZ","modest","no position","Czechia"
"DK","very low","no position","Denmark"
"DE","modest","no position","Germany"
"EE","very low","less ambition","Estonia"
"EL","low","less ambition","Greece"
"ES","sufficient","no position","Spain"
"FR","sufficient","no position","France"
"HR","low","less ambition","Croatia"
"IE","low","no position","Ireland"
"IT","sufficient","no position","Italy"
"CY","low","less ambition","Cyprus"
"LV","modest","less ambition","Latvia"
"LT","modest","no position","Lithuania"
"LU","sufficient","no position","Luxembourg"
"HU","very low","less ambition","Hungary"
"MT","very low","less ambition","Malta"
"NL","modest","no position","Netherlands"
"AT","low","no position","Austria"
"PL","modest","less ambition","Poland"
"PT","modest","no position","Portugal"
"RO","very low","less ambition","Romania"
"SL","low","no position","Slovenia"
"SK","low","less ambition","Slovakia"
"FI","very low","less ambition","Finland"
"SE","modest","no position","Sweden"
