"code","name","long","lat","pop"
"AT","Austria",14.1264761,47.58549439,8901064
"BE","Belgium",4.64065114,50.63981576,11522440
"BG","Bulgaria",25.21552909,42.76890318,6951482
"CY","Cyprus",33.0060022,34.91667211,888005
"CZ","Czech Republic",15.31240163,49.73341233,10693939
"DE","Germany",10.38578051,51.10698181,83166711
"DK","Denmark",10.02800992,55.98125296,5822763
"ES","Spain",-3.64755047,40.24448698,47332614
"EE","Estonia",25.54248537,58.67192972,1328976
"FI","Finland",25.275255,62.30821528,5525292
"FR","France",2.2781109,47.2012479,67320216
"EL","Greece",22.95555794,39.07469623,10718565
"HR","Croatia",16.40412899,45.08047631,4058165
"HU","Hungary",19.39559116,47.16277506,9769526
"IE","Ireland",-8.13793569,53.1754487,4964440
"IT","Italy",12.07001339,42.79662641,59641488
"LT","Lithuania",23.88719355,55.32610984,2794090
"LU","Luxembourg",6.07182201,49.76725361,626108
"LV","Latvia",24.91235983,56.85085163,1907675
"MT","Malta",14.40523316,35.92149632,514564
"NL","Netherlands",5.28144793,52.1007899,17407585
"PL","Poland",19.39012835,52.12759564,37958138
"PT","Portugal",-8.50104361,39.59550671,10295909
"RO","Romania",24.97293039,45.85243127,19328838
"SK","Slovakia",19.47905218,48.70547528,5457873
"SI","Slovenia",14.80444238,46.11554772,2095861
"SE","Sweden",14.686196,59.4432748,10327589
