"geo","time","absolute","relative"
"AT",2020-01-01,26.07498,82.6295581763239
"BE",2020-01-01,33.293821,85.1171741580273
"BG",2020-01-01,9.540381,215.682254399946
"CY",2020-01-01,1.572583,74.1550076155177
"CZ",2020-01-01,24.480001,131.96026206617
"DE",2020-01-01,201.656169,70.6755117526819
"DK",2020-01-01,13.149578,46.8425271125411
"EE",2020-01-01,2.77535,139.132723398922
"EL",2020-01-01,14.328672,82.6952492860886
"ES",2020-01-01,73.757693,69.6866214791732
"EU27_2020",2020-01-01,906.796542,76.7343014246893
"FI",2020-01-01,23.282052,116.769852761579
"FR",2020-01-01,130.228491,62.732043208201
"HR",2020-01-01,6.468386,136.272368360068
"HU",2020-01-01,18.008667,145.700599916667
"IE",2020-01-01,11.179142,35.6422960501607
"IT",2020-01-01,102.738061,69.4200947736642
"LT",2020-01-01,5.308236,135.394841553247
"LU",2020-01-01,3.812199,73.4445668884787
"LV",2020-01-01,3.855295,166.890830148004
"MT",2020-01-01,0.544629,51.7359006753997
"NL",2020-01-01,45.520916,64.9821088668245
"PL",2020-01-01,71.002741,145.745515983868
"PT",2020-01-01,15.019696,85.4255781415295
"RO",2020-01-01,23.529344,138.387798949211
"SE",2020-01-01,30.933749,70.1811102063819
"SI",2020-01-01,4.391519,105.922339229808
"SK",2020-01-01,10.344191,124.81045907779
"AT",2019-01-01,28.335422,83.7456180872472
"BE",2019-01-01,35.777426,86.2899270365936
"BG",2019-01-01,9.838777,212.670076151404
"CY",2019-01-01,1.886765,84.3179096206786
"CZ",2019-01-01,25.264676,128.294040610802
"DE",2019-01-01,214.70301,71.8095557010754
"DK",2019-01-01,14.317168,49.9501028156916
"EE",2019-01-01,2.895824,140.887900710807
"EL",2019-01-01,16.188841,85.0042190104885
"ES",2019-01-01,86.486136,72.8688682602764
"EU27_2020",2019-01-01,986.451705,78.5187223667626
"FI",2019-01-01,25.295912,123.317694317694
"FR",2019-01-01,145.532533,64.5972555721321
"HR",2019-01-01,6.911436,133.812376331553
"HU",2019-01-01,18.603167,143.473100673977
"IE",2019-01-01,12.375401,41.7712071875877
"IT",2019-01-01,115.355543,70.9784738509347
"LT",2019-01-01,5.557645,141.568638938702
"LU",2019-01-01,4.388937,83.0539659831505
"LV",2019-01-01,4.081874,170.305156875834
"MT",2019-01-01,0.696723,60.7377735158225
"NL",2019-01-01,49.665078,68.2048374889948
"PL",2019-01-01,73.729589,147.497733907643
"PT",2019-01-01,17.133289,89.2198949771499
"RO",2019-01-01,23.875531,135.160861908016
"SE",2019-01-01,31.535385,69.4368057917978
"SI",2019-01-01,4.850693,112.04930851199
"SK",2019-01-01,11.168924,128.887468207772
"AT",2018-01-01,27.849403,83.5365890604617
"BE",2018-01-01,36.372057,89.609765014946
"BG",2018-01-01,9.913228,222.930981364001
"CY",2018-01-01,1.858295,87.4331299196853
"CZ",2018-01-01,25.324596,132.494125956445
"DE",2018-01-01,215.173669,72.7265905708779
"DK",2018-01-01,14.585338,51.9617576026822
"EE",2018-01-01,2.955951,149.704030832654
"EL",2018-01-01,15.918485,85.0921429277797
"ES",2018-01-01,86.714612,74.5848354584852
"EU27_2020",2018-01-01,992.266799,80.4194313949292
"FI",2018-01-01,25.839151,127.503716924553
"FR",2018-01-01,146.944047,66.4258394733201
"HR",2018-01-01,6.851685,137.274479436932
"HU",2018-01-01,18.52768,149.398219898496
"IE",2018-01-01,12.390158,43.8773560316961
"IT",2018-01-01,116.325593,71.8690066218619
"LT",2018-01-01,5.568134,148.322988977267
"LU",2018-01-01,4.348881,84.9983484578114
"LV",2018-01-01,4.177016,178.604181810407
"MT",2018-01-01,0.659541,60.8842670802293
"NL",2018-01-01,50.631881,70.892316709285
"PL",2018-01-01,74.879194,156.905364595164
"PT",2018-01-01,16.868543,90.1978160297556
"RO",2018-01-01,23.592202,139.150664457608
"SE",2018-01-01,31.934278,71.7117085961905
"SI",2018-01-01,4.950155,118.06379061148
"SK",2018-01-01,11.113026,131.583617504973
"AT",2017-01-01,28.531089,87.7222689222902
"BE",2017-01-01,36.103892,90.5672511011138
"BG",2017-01-01,9.892591,228.438871082457
"CY",2017-01-01,1.863677,92.6782899284403
"CZ",2017-01-01,25.497782,137.667270835594
"DE",2017-01-01,218.624701,74.6955010885144
"DK",2017-01-01,14.57564,52.9603249204903
"EE",2017-01-01,2.866148,151.156982079382
"EL",2017-01-01,16.418058,89.2268788365439
"ES",2017-01-01,84.747522,74.5612673551373
"EU27_2020",2017-01-01,989.607291,81.8607657897446
"FI",2017-01-01,25.262222,126.080382899294
"FR",2017-01-01,149.45808,68.8223862307043
"HR",2017-01-01,6.924501,142.756733243172
"HU",2017-01-01,18.498141,157.154261984642
"IE",2017-01-01,11.848733,45.749063684873
"IT",2017-01-01,115.185513,71.8234846814973
"LT",2017-01-01,5.344941,148.063408958697
"LU",2017-01-01,4.180307,83.3412814076864
"LV",2017-01-01,4.014109,178.485757988066
"MT",2017-01-01,0.622267,60.9695087299877
"NL",2017-01-01,50.155132,71.8827395026825
"PL",2017-01-01,70.898345,156.517367541602
"PT",2017-01-01,16.556814,91.0535036772126
"RO",2017-01-01,23.325419,143.733067378017
"SE",2017-01-01,32.135703,73.5712539234473
"SI",2017-01-01,4.948984,123.255919366608
"SK",2017-01-01,11.12698,136.748004448896
"AT",2016-01-01,28.075144,88.2700171477188
"BE",2016-01-01,36.422571,92.8464371738846
"BG",2016-01-01,9.649361,228.976891972701
"CY",2016-01-01,1.766074,92.9644738989225
"CZ",2016-01-01,24.821421,140.942311787202
"DE",2016-01-01,216.866737,76.0807890012614
"DK",2016-01-01,14.498136,54.1651682156783
"EE",2016-01-01,2.840237,158.466186472357
"EL",2016-01-01,16.75832,92.070789536721
"ES",2016-01-01,82.203008,74.473210103706
"EU27_2020",2016-01-01,977.513396,83.1351650056899
"FI",2016-01-01,25.180637,129.685194322013
"FR",2016-01-01,150.426091,70.8553594124698
"HR",2016-01-01,6.639792,141.560713113111
"HU",2016-01-01,17.776242,157.467671554689
"IE",2016-01-01,11.754656,49.4433246403634
"IT",2016-01-01,115.920215,73.4871575851577
"LT",2016-01-01,5.099173,147.304695737582
"LU",2016-01-01,4.039859,81.6021031454265
"LV",2016-01-01,3.820258,175.493968376469
"MT",2016-01-01,0.583031,63.7164495541178
"NL",2016-01-01,49.805397,73.4593417841754
"PL",2016-01-01,66.601362,154.133783536719
"PT",2016-01-01,16.185564,92.1328830354464
"RO",2016-01-01,22.236514,147.052497506858
"SE",2016-01-01,32.25906,75.750174000355
"SI",2016-01-01,4.881459,127.428616925189
"SK",2016-01-01,10.403077,131.6615198864
"AT",2015-01-01,27.505584,88.1997154453165
"BE",2015-01-01,35.946595,92.7938073433572
"BG",2015-01-01,9.490345,232.049689592864
"CY",2015-01-01,1.667792,93.4572861505702
"CZ",2015-01-01,24.194972,140.871066871768
"DE",2015-01-01,212.745948,76.2995050210693
"DK",2015-01-01,14.150978,54.5842510439722
"EE",2015-01-01,2.800722,161.192633093525
"EL",2015-01-01,16.564705,90.5636862947065
"ES",2015-01-01,80.483593,75.1257661006567
"EU27_2020",2015-01-01,958.446648,83.1499636201913
"FI",2015-01-01,24.212225,128.203536313319
"FR",2015-01-01,148.458413,70.6945631747389
"HR",2015-01-01,6.586008,145.373974426043
"HU",2015-01-01,17.39983,157.511849714122
"IE",2015-01-01,11.324014,48.6046733224026
"IT",2015-01-01,116.22437,74.6330023820402
"LT",2015-01-01,4.861099,143.964313214476
"LU",2015-01-01,3.991006,84.6285446499191
"LV",2015-01-01,3.7875,178.10873214798
"MT",2015-01-01,0.578399,65.1974299723835
"NL",2015-01-01,48.748118,73.4757718042307
"PL",2015-01-01,62.298519,148.70542997777
"PT",2015-01-01,15.996542,92.8958348698335
"RO",2015-01-01,21.849804,151.290753663208
"SE",2015-01-01,31.802207,76.2236510368693
"SI",2015-01-01,4.712521,126.945141086942
