"nrg_bal","siec","unit","geo","time","absolute","hdd.ind","pop","demand","climate","climatecapita"
"FC_OTH_HH_E","TOTAL","KTOE","AT",2019-01-01,6.695287,0.95,8858775,0.69,6.9384316331579,7.83226984900045e-07
"FC_OTH_HH_E","TOTAL","KTOE","BE",2019-01-01,7.899465,0.94,11455519,0.74,8.27258866595745,7.22148744719244e-07
"FC_OTH_HH_E","TOTAL","KTOE","BG",2019-01-01,2.159861,0.87,7000039,0.53,2.3309120608046,3.32985582052414e-07
"FC_OTH_HH_E","TOTAL","KTOE","CY",2019-01-01,0.362606,1.04,875899,0.35,0.357724765384615,4.08408692537171e-07
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2019-01-01,7.006728,0.91,10649800,0.68,7.47794970725275,7.0216808834464e-07
"FC_OTH_HH_E","TOTAL","KTOE","DE",2019-01-01,57.734681,0.92,83019213,0.66,61.0481496486956,7.35349655129779e-07
"FC_OTH_HH_E","TOTAL","KTOE","DK",2019-01-01,4.369619,0.93,5806081,0.63,4.57682351387097,7.88281030504219e-07
"FC_OTH_HH_E","TOTAL","KTOE","EE",2019-01-01,0.951328,0.91,1324820,0.73,1.02001179076923,7.69924813007979e-07
"FC_OTH_HH_E","TOTAL","KTOE","EL",2019-01-01,4.113967,0.95,10724599,0.54,4.23089027263158,3.94503353704095e-07
"FC_OTH_HH_E","TOTAL","KTOE","ES",2019-01-01,14.738116,0.96,46937060,0.43,15.0021739116667,3.19623212695185e-07
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2019-01-01,245.855834,0.95,446446444,0.64,254.137293671579,5.69244748361304e-07
"FC_OTH_HH_E","TOTAL","KTOE","FI",2019-01-01,5.631035,1.01,5517919,0.67,5.59368060940594,1.01373010539045e-06
"FC_OTH_HH_E","TOTAL","KTOE","FR",2019-01-01,39.846519,0.96,67177636,0.65,40.92569555625,6.09216072388287e-07
"FC_OTH_HH_E","TOTAL","KTOE","HR",2019-01-01,2.238639,0.92,4076246,0.67,2.36906405478261,5.81187704270696e-07
"FC_OTH_HH_E","TOTAL","KTOE","HU",2019-01-01,5.676869,0.89,9772756,0.72,6.18204655595506,6.32579648561271e-07
"FC_OTH_HH_E","TOTAL","KTOE","IE",2019-01-01,2.881473,0.96,4904240,0.62,2.9559110525,6.02725611409719e-07
"FC_OTH_HH_E","TOTAL","KTOE","IT",2019-01-01,31.138335,0.98,59816673,0.66,31.5577493081633,5.27574465871134e-07
"FC_OTH_HH_E","TOTAL","KTOE","LT",2019-01-01,1.447177,0.88,2794184,0.71,1.58729004590909,5.68069263122647e-07
"FC_OTH_HH_E","TOTAL","KTOE","LU",2019-01-01,0.461264,0.95,613894,0.84,0.481656724210526,7.8459265640408e-07
"FC_OTH_HH_E","TOTAL","KTOE","LV",2019-01-01,1.188007,0.89,1919968,0.66,1.28491633505618,6.6923841181529e-07
"FC_OTH_HH_E","TOTAL","KTOE","MT",2019-01-01,0.101155,1.08,493559,0.2,0.0996564074074074,2.01913869278865e-07
"FC_OTH_HH_E","TOTAL","KTOE","NL",2019-01-01,9.307869,0.93,17282163,0.63,9.74924214290323,5.64121640497386e-07
"FC_OTH_HH_E","TOTAL","KTOE","PL",2019-01-01,18.196434,0.88,37972812,0.65,19.8092997409091,5.2167060319128e-07
"FC_OTH_HH_E","TOTAL","KTOE","PT",2019-01-01,2.891348,0.92,10276617,0.27,2.9592318226087,2.87957780523366e-07
"FC_OTH_HH_E","TOTAL","KTOE","RO",2019-01-01,7.753283,0.88,19414458,0.63,8.41936049409091,4.33664462540799e-07
"FC_OTH_HH_E","TOTAL","KTOE","SE",2019-01-01,7.363914,0.99,10230185,0.55,7.40482463333333,7.23821185377716e-07
"FC_OTH_HH_E","TOTAL","KTOE","SI",2019-01-01,1.057443,0.94,2080908,0.63,1.09996570787234,5.28598913489852e-07
"FC_OTH_HH_E","TOTAL","KTOE","SK",2019-01-01,2.643412,0.92,5450421,0.67,2.79741948173913,5.1324833104436e-07
"FC_OTH_HH_E","TOTAL","KTOE","AT",2018-01-01,6.542766,0.92,8822267,0.69,6.93533196,7.86116761145406e-07
"FC_OTH_HH_E","TOTAL","KTOE","BE",2018-01-01,8.118234,0.93,11398589,0.74,8.57041090451613,7.51883492291557e-07
"FC_OTH_HH_E","TOTAL","KTOE","BG",2018-01-01,2.229673,0.94,7050034,0.53,2.30510236319149,3.26963297367288e-07
"FC_OTH_HH_E","TOTAL","KTOE","CY",2018-01-01,0.337179,0.68,864236,0.35,0.392714364705882,4.54406394440734e-07
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2018-01-01,7.042708,0.91,10610055,0.68,7.5163494610989,7.08417577580785e-07
"FC_OTH_HH_E","TOTAL","KTOE","DE",2018-01-01,55.843736,0.91,82792351,0.66,59.4889205257143,7.18531601134437e-07
"FC_OTH_HH_E","TOTAL","KTOE","DK",2018-01-01,4.44403,0.94,5781190,0.63,4.62273673829787,7.99616815620637e-07
"FC_OTH_HH_E","TOTAL","KTOE","EE",2018-01-01,0.94103,0.96,1319133,0.73,0.969652995833333,7.35068409200083e-07
"FC_OTH_HH_E","TOTAL","KTOE","EL",2018-01-01,3.914348,0.9,10741165,0.54,4.14920888,3.86290395874191e-07
"FC_OTH_HH_E","TOTAL","KTOE","ES",2018-01-01,15.007541,1.03,46658447,0.43,14.8195824767961,3.17618425593893e-07
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2018-01-01,246.897188,0.95,446208557,0.64,255.213724858947,5.71960624365497e-07
"FC_OTH_HH_E","TOTAL","KTOE","FI",2018-01-01,5.69111,0.98,5513130,0.67,5.76892721836735,1.04639782090525e-06
"FC_OTH_HH_E","TOTAL","KTOE","FR",2018-01-01,40.013171,0.92,67026224,0.65,42.2747850130435,6.30720074773174e-07
"FC_OTH_HH_E","TOTAL","KTOE","HR",2018-01-01,2.298942,0.94,4105493,0.67,2.39725845574468,5.83914880805955e-07
"FC_OTH_HH_E","TOTAL","KTOE","HU",2018-01-01,5.818115,0.92,9778371,0.72,6.18237959130435,6.32250462914973e-07
"FC_OTH_HH_E","TOTAL","KTOE","IE",2018-01-01,3.021176,0.98,4830392,0.62,3.05940312489796,6.33365392477041e-07
"FC_OTH_HH_E","TOTAL","KTOE","IT",2018-01-01,31.905559,0.93,60483973,0.66,33.4905448341935,5.53709407187811e-07
"FC_OTH_HH_E","TOTAL","KTOE","LT",2018-01-01,1.511606,0.96,2808901,0.71,1.55632434416667,5.54068777848228e-07
"FC_OTH_HH_E","TOTAL","KTOE","LU",2018-01-01,0.49967,0.92,602005,0.84,0.536167634782609,8.90636514285776e-07
"FC_OTH_HH_E","TOTAL","KTOE","LV",2018-01-01,1.231009,0.96,1934379,0.66,1.2648617475,6.53885173226136e-07
"FC_OTH_HH_E","TOTAL","KTOE","MT",2018-01-01,0.093195,0.77,475701,0.2,0.0987624935064935,2.07614643455644e-07
"FC_OTH_HH_E","TOTAL","KTOE","NL",2018-01-01,9.646453,0.93,17181084,0.63,10.1038815777419,5.88081728588367e-07
"FC_OTH_HH_E","TOTAL","KTOE","PL",2018-01-01,19.460721,0.93,37976687,0.65,20.4128315435484,5.37509539564322e-07
"FC_OTH_HH_E","TOTAL","KTOE","PT",2018-01-01,2.877758,1.09,10291027,0.27,2.81360247761468,2.73403468634829e-07
"FC_OTH_HH_E","TOTAL","KTOE","RO",2018-01-01,7.77508,0.94,19533481,0.63,8.08773747234043,4.14044863398409e-07
"FC_OTH_HH_E","TOTAL","KTOE","SE",2018-01-01,7.49034,0.99,10120242,0.55,7.531953,7.44246333239857e-07
"FC_OTH_HH_E","TOTAL","KTOE","SI",2018-01-01,1.084519,0.92,2066880,0.63,1.14393178,5.53458246245549e-07
"FC_OTH_HH_E","TOTAL","KTOE","SK",2018-01-01,2.057519,0.92,5443120,0.67,2.17739184608696,4.00026427138655e-07
"FC_OTH_HH_E","TOTAL","KTOE","AT",2017-01-01,6.955601,1.01,8772865,0.69,6.90808253772277,7.87437460592722e-07
"FC_OTH_HH_E","TOTAL","KTOE","BE",2017-01-01,8.180798,0.96,11351727,0.74,8.43303927166667,7.42886018283092e-07
"FC_OTH_HH_E","TOTAL","KTOE","BG",2017-01-01,2.318716,1.02,7101859,0.53,2.29461953960784,3.23101252729439e-07
"FC_OTH_HH_E","TOTAL","KTOE","CY",2017-01-01,0.345146,1.03,854802,0.35,0.341627521359223,3.99656904592202e-07
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2017-01-01,7.202965,1,10578820,0.68,7.202965,6.80885486282969e-07
"FC_OTH_HH_E","TOTAL","KTOE","DE",2017-01-01,56.542893,0.98,82521653,0.66,57.3044911506122,6.94417635461232e-07
"FC_OTH_HH_E","TOTAL","KTOE","DK",2017-01-01,4.496294,0.96,5748769,0.63,4.6143217175,8.02662573065642e-07
"FC_OTH_HH_E","TOTAL","KTOE","EE",2017-01-01,0.940914,1,1315635,0.73,0.940914,7.15178601967871e-07
"FC_OTH_HH_E","TOTAL","KTOE","EL",2017-01-01,4.413305,1.06,10768193,0.54,4.27840775283019,3.97319007267996e-07
"FC_OTH_HH_E","TOTAL","KTOE","ES",2017-01-01,14.619429,0.91,46528024,0.43,15.2411563651648,3.27569388400523e-07
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2017-01-01,252.016895,0.99,445534430,0.64,253.646095129293,5.6930750588522e-07
"FC_OTH_HH_E","TOTAL","KTOE","FI",2017-01-01,5.761435,1.01,5503297,0.67,5.72321557970297,1.03996124136185e-06
"FC_OTH_HH_E","TOTAL","KTOE","FR",2017-01-01,41.389768,0.98,66809816,0.65,41.9388159428571,6.2773434285251e-07
"FC_OTH_HH_E","TOTAL","KTOE","HR",2017-01-01,2.392794,1.03,4154213,0.67,2.34609967048544,5.6475189656511e-07
"FC_OTH_HH_E","TOTAL","KTOE","HU",2017-01-01,6.294138,1.03,9797561,0.72,6.16214442640777,6.28946778326541e-07
"FC_OTH_HH_E","TOTAL","KTOE","IE",2017-01-01,2.801833,0.95,4784383,0.62,2.89326123473684,6.04730272375109e-07
"FC_OTH_HH_E","TOTAL","KTOE","IT",2017-01-01,32.898639,1.01,60589445,0.66,32.6836577946535,5.39428241910014e-07
"FC_OTH_HH_E","TOTAL","KTOE","LT",2017-01-01,1.455374,0.98,2847904,0.71,1.4764620722449,5.18438146877457e-07
