"hhtyp","incgrp","unit","sex","age","geo","time","share"
"TOTAL","TOTAL","PC","T","TOTAL","AT",2020-01-01,9.1
"TOTAL","TOTAL","PC","T","TOTAL","BG",2020-01-01,11
"TOTAL","TOTAL","PC","T","TOTAL","DK",2020-01-01,16.8
"TOTAL","TOTAL","PC","T","TOTAL","FI",2020-01-01,4.5
"TOTAL","TOTAL","PC","T","TOTAL","HU",2020-01-01,20.4
"TOTAL","TOTAL","PC","T","TOTAL","NL",2020-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","RO",2020-01-01,10
"TOTAL","TOTAL","PC","T","TOTAL","AT",2019-01-01,9.4
"TOTAL","TOTAL","PC","T","TOTAL","BE",2019-01-01,16.7
"TOTAL","TOTAL","PC","T","TOTAL","BG",2019-01-01,11.6
"TOTAL","TOTAL","PC","T","TOTAL","CH",2019-01-01,10.5
"TOTAL","TOTAL","PC","T","TOTAL","CY",2019-01-01,31.1
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2019-01-01,7.3
"TOTAL","TOTAL","PC","T","TOTAL","DE",2019-01-01,12
"TOTAL","TOTAL","PC","T","TOTAL","DK",2019-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","EA",2019-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2019-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","EE",2019-01-01,13.8
"TOTAL","TOTAL","PC","T","TOTAL","EL",2019-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","ES",2019-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","EU",2019-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2019-01-01,12.7
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2019-01-01,12.7
"TOTAL","TOTAL","PC","T","TOTAL","FI",2019-01-01,4.1
"TOTAL","TOTAL","PC","T","TOTAL","FR",2019-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","HR",2019-01-01,10.2
"TOTAL","TOTAL","PC","T","TOTAL","HU",2019-01-01,22.3
"TOTAL","TOTAL","PC","T","TOTAL","IE",2019-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","IT",2019-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","LT",2019-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","LU",2019-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","LV",2019-01-01,19.3
"TOTAL","TOTAL","PC","T","TOTAL","MT",2019-01-01,7.6
"TOTAL","TOTAL","PC","T","TOTAL","NL",2019-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","PL",2019-01-01,10.8
"TOTAL","TOTAL","PC","T","TOTAL","PT",2019-01-01,24.4
"TOTAL","TOTAL","PC","T","TOTAL","RO",2019-01-01,9.4
"TOTAL","TOTAL","PC","T","TOTAL","SE",2019-01-01,7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2019-01-01,20.6
"TOTAL","TOTAL","PC","T","TOTAL","SK",2019-01-01,5.7
"TOTAL","TOTAL","PC","T","TOTAL","AT",2018-01-01,10.4
"TOTAL","TOTAL","PC","T","TOTAL","BE",2018-01-01,17.9
"TOTAL","TOTAL","PC","T","TOTAL","BG",2018-01-01,13
"TOTAL","TOTAL","PC","T","TOTAL","CH",2018-01-01,9.8
"TOTAL","TOTAL","PC","T","TOTAL","CY",2018-01-01,30.2
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2018-01-01,7.7
"TOTAL","TOTAL","PC","T","TOTAL","DE",2018-01-01,13.4
