"geo","time","share"
"AT",2005-01-01,3.2
"BE",2005-01-01,14.1
"BG",2005-01-01,69.5
"CY",2005-01-01,33.7
"CZ",2005-01-01,9.3
"DE",2005-01-01,4.6
"DK",2005-01-01,8.9
"EA18",2005-01-01,8.6
"EE",2005-01-01,2.6
"EL",2005-01-01,15.7
"ES",2005-01-01,9.4
"FI",2005-01-01,2.6
"FR",2005-01-01,5.3
"HU",2005-01-01,17.7
"IE",2005-01-01,4
"IT",2005-01-01,11
"LT",2005-01-01,34.8
"LU",2005-01-01,0.9
"LV",2005-01-01,29.8
"MT",2005-01-01,12.6
"NL",2005-01-01,3.1
"PL",2005-01-01,33.6
"PT",2005-01-01,40
"SE",2005-01-01,1.4
"SI",2005-01-01,2.6
"SK",2005-01-01,13.6
"AT",2006-01-01,3.8
"BE",2006-01-01,14.5
"BG",2006-01-01,69.5
"CY",2006-01-01,33.8
"CZ",2006-01-01,8.9
"DE",2006-01-01,5.5
"DK",2006-01-01,9.4
"EA18",2006-01-01,8.7
"EE",2006-01-01,2.3
"EL",2006-01-01,12
"ES",2006-01-01,10.1
"FI",2006-01-01,2.4
"FR",2006-01-01,5.9
"HU",2006-01-01,14.8
"IE",2006-01-01,3.8
"IT",2006-01-01,10.4
"LT",2006-01-01,27.6
"LU",2006-01-01,0.6
"LV",2006-01-01,25.7
"MT",2006-01-01,10.8
"NL",2006-01-01,2.2
"PL",2006-01-01,28.4
"PT",2006-01-01,39.9
"SE",2006-01-01,2.5
"SI",2006-01-01,3
"SK",2006-01-01,9.7
"AT",2007-01-01,2.6
"BE",2007-01-01,14.6
"BG",2007-01-01,67.4
"CH",2007-01-01,6.9
"CY",2007-01-01,34.6
"CZ",2007-01-01,6.1
"DE",2007-01-01,5.4
"DK",2007-01-01,10.3
"EA18",2007-01-01,8.1
"EE",2007-01-01,3.6
"EL",2007-01-01,13.8
"ES",2007-01-01,8
"EU27_2007",2007-01-01,10.9
"FI",2007-01-01,1.1
"FR",2007-01-01,4.6
"HU",2007-01-01,10.8
"IE",2007-01-01,3.5
"IT",2007-01-01,10.7
"LT",2007-01-01,22.4
"LU",2007-01-01,0.5
"LV",2007-01-01,20.9
"MT",2007-01-01,10.2
"NL",2007-01-01,1.6
"PL",2007-01-01,22.7
"PT",2007-01-01,41.9
"RO",2007-01-01,33.3
"SE",2007-01-01,1.8
"SI",2007-01-01,4.2
"SK",2007-01-01,4.6
"AT",2008-01-01,3.9
"BE",2008-01-01,6.4
"BG",2008-01-01,66.3
"CH",2008-01-01,6.9
"CY",2008-01-01,29.2
"CZ",2008-01-01,6
"DE",2008-01-01,5.9
"DK",2008-01-01,1.7
"EA18",2008-01-01,7.8
"EE",2008-01-01,1.1
"EL",2008-01-01,15.4
"ES",2008-01-01,5.9
"EU27_2007",2008-01-01,10.1
"FI",2008-01-01,1.9
"FR",2008-01-01,5.3
"HU",2008-01-01,9.7
"IE",2008-01-01,3.7
"IT",2008-01-01,11.4
"LT",2008-01-01,22.6
"LU",2008-01-01,0.9
"LV",2008-01-01,16.8
"MT",2008-01-01,8.8
"NL",2008-01-01,1.8
"PL",2008-01-01,20.1
"PT",2008-01-01,34.9
"RO",2008-01-01,24.4
"SE",2008-01-01,1.6
"SI",2008-01-01,5.6
"SK",2008-01-01,6
"AT",2009-01-01,2.9
"BE",2009-01-01,5.1
"BG",2009-01-01,64.2
"CH",2009-01-01,7.6
"CY",2009-01-01,21.7
"CZ",2009-01-01,5.2
"DE",2009-01-01,5.5
"DK",2009-01-01,1.5
"EA18",2009-01-01,7.5
"EE",2009-01-01,1.7
"EL",2009-01-01,15.7
"ES",2009-01-01,7.2
"EU27_2007",2009-01-01,9.3
"FI",2009-01-01,1.3
"FR",2009-01-01,5.5
"HU",2009-01-01,8.9
"IE",2009-01-01,4.1
"IT",2009-01-01,10.8
"LT",2009-01-01,24.1
"LU",2009-01-01,0.3
"LV",2009-01-01,16.4
"MT",2009-01-01,11.1
"NL",2009-01-01,1.3
"PL",2009-01-01,16.3
"PT",2009-01-01,28.5
"RO",2009-01-01,22.1
"SE",2009-01-01,1.7
"SI",2009-01-01,4.6
"SK",2009-01-01,3.6
"AT",2010-01-01,3.8
