"nrg_bal","unit","geo","time","RA000","RA200","RA410","RA600","TOTAL","share","sharenobiom"
"FC_OTH_HH_E","KTOE","AT",2019-01-01,1976.263,0,112.906,172.733,6695.287,29.5,4.3
"FC_OTH_HH_E","KTOE","BE",2019-01-01,683.22,0,26.139,85.547,7899.465,8.6,1.4
"FC_OTH_HH_E","KTOE","BG",2019-01-01,721.516,0,10.953,0,2159.861,33.4,0.5
"FC_OTH_HH_E","KTOE","CY",2019-01-01,98.969,1.55,61.829,11.279,362.606,27.3,20.6
"FC_OTH_HH_E","KTOE","CZ",2019-01-01,2193.347,0,14.324,162.211,7006.728,31.3,2.5
"FC_OTH_HH_E","KTOE","DE",2019-01-01,8293.305,25.318,697.693,1149.207,57734.681,14.4,3.2
"FC_OTH_HH_E","KTOE","DK",2019-01-01,1053.649,0,12.404,197.283,4369.619,24.1,4.8
"FC_OTH_HH_E","KTOE","EE",2019-01-01,378.38,0,0,0,951.328,39.8,0
"FC_OTH_HH_E","KTOE","EL",2019-01-01,1025.865,0,273.837,72.346,4113.967,24.9,8.4
"FC_OTH_HH_E","KTOE","ES",2019-01-01,2991.193,10.653,275.759,158.164,14738.116,20.3,3
"FC_OTH_HH_E","KTOE","EU27_2020",2019-01-01,49496.725,60.851,2047.46,5861.419,245855.834,20.1,3.2
"FC_OTH_HH_E","KTOE","FI",2019-01-01,1770.503,0,2.173,535.707,5631.035,31.4,9.6
"FC_OTH_HH_E","KTOE","FR",2019-01-01,9094.314,0,170.799,2477.017,39846.519,22.8,6.6
"FC_OTH_HH_E","KTOE","HR",2019-01-01,1032.982,0,10.815,14.469,2238.639,46.1,1.1
"FC_OTH_HH_E","KTOE","HU",2019-01-01,1285.588,0,13.113,9.291,5676.869,22.6,0.4
"FC_OTH_HH_E","KTOE","IE",2019-01-01,72.583,0,13.527,33.972,2881.473,2.5,1.6
"FC_OTH_HH_E","KTOE","IT",2019-01-01,6508.584,0.952,168.68,96.127,31138.335,20.9,0.9
"FC_OTH_HH_E","KTOE","LT",2019-01-01,484.714,0,0,23.335,1447.177,33.5,1.6
"FC_OTH_HH_E","KTOE","LU",2019-01-01,19.284,0,2.441,1.399,461.264,4.2,0.8
"FC_OTH_HH_E","KTOE","LV",2019-01-01,510.525,0,0.04,0,1188.007,43,0
"FC_OTH_HH_E","KTOE","MT",2019-01-01,13.986,0,5.075,7.236,101.155,13.8,12.2
"FC_OTH_HH_E","KTOE","NL",2019-01-01,519.84,0,23.073,107.965,9307.869,5.6,1.4
"FC_OTH_HH_E","KTOE","PL",2019-01-01,2771.986,18.816,66.01,236.601,18196.434,15.2,1.8
"FC_OTH_HH_E","KTOE","PT",2019-01-01,1060.595,0,57.798,241.847,2891.348,36.7,10.4
"FC_OTH_HH_E","KTOE","RO",2019-01-01,3046.516,3.562,0,0,7753.283,39.3,0
"FC_OTH_HH_E","KTOE","SE",2019-01-01,814.857,0,10.653,0,7363.914,11.1,0.1
"FC_OTH_HH_E","KTOE","SI",2019-01-01,458.665,0,10.588,39.626,1057.443,43.4,4.7
"FC_OTH_HH_E","KTOE","SK",2019-01-01,615.496,0,6.831,28.057,2643.412,23.3,1.3
"FC_OTH_HH_E","KTOE","AT",2018-01-01,1934.407,0,110.896,169.958,6542.766,29.6,4.3
"FC_OTH_HH_E","KTOE","BE",2018-01-01,676.917,0,26.247,70.039,8118.234,8.3,1.2
"FC_OTH_HH_E","KTOE","BG",2018-01-01,749.146,0,10.472,0,2229.673,33.6,0.5
"FC_OTH_HH_E","KTOE","CY",2018-01-01,95.42,1.55,60.872,10.061,337.179,28.3,21.5
"FC_OTH_HH_E","KTOE","CZ",2018-01-01,2034.985,0,14.049,138.238,7042.708,28.9,2.2
"FC_OTH_HH_E","KTOE","DE",2018-01-01,8135.013,22.977,729.77,1061.909,55843.736,14.6,3.2
"FC_OTH_HH_E","KTOE","DK",2018-01-01,1103.534,0,12.251,173.397,4444.03,24.8,4.2
"FC_OTH_HH_E","KTOE","EE",2018-01-01,394.096,0,0,0,941.03,41.9,0
"FC_OTH_HH_E","KTOE","EL",2018-01-01,1049.792,0,265.453,69.337,3914.348,26.8,8.6
"FC_OTH_HH_E","KTOE","ES",2018-01-01,2956.297,10.653,261.283,141.086,15007.541,19.7,2.8
"FC_OTH_HH_E","KTOE","EU27_2020",2018-01-01,48501.962,57.492,2021.29,5259.822,246897.188,19.6,3
"FC_OTH_HH_E","KTOE","FI",2018-01-01,1769.332,0,1.982,513.328,5691.11,31.1,9.1
"FC_OTH_HH_E","KTOE","FR",2018-01-01,8738.045,0,165.277,2187.158,40013.171,21.8,5.9
"FC_OTH_HH_E","KTOE","HR",2018-01-01,1064.84,0,9.757,15.078,2298.942,46.3,1.1
"FC_OTH_HH_E","KTOE","HU",2018-01-01,1371.334,0,12.348,6.759,5818.115,23.6,0.3
"FC_OTH_HH_E","KTOE","IE",2018-01-01,72.109,0,13.382,28.133,3021.176,2.4,1.4
"FC_OTH_HH_E","KTOE","IT",2018-01-01,6513.976,0.984,161.632,99.664,31905.559,20.4,0.8
"FC_OTH_HH_E","KTOE","LT",2018-01-01,501.935,0,0,22.26,1511.606,33.2,1.5
"FC_OTH_HH_E","KTOE","LU",2018-01-01,28.464,0,2.375,1.218,499.67,5.7,0.7
"FC_OTH_HH_E","KTOE","LV",2018-01-01,536.257,0,0,0,1231.009,43.6,0
"FC_OTH_HH_E","KTOE","MT",2018-01-01,12.975,0,5.031,6.607,93.195,13.9,12.5
"FC_OTH_HH_E","KTOE","NL",2018-01-01,494.634,0,22.093,79.738,9646.453,5.1,1.1
"FC_OTH_HH_E","KTOE","PL",2018-01-01,2845.532,17.753,50.85,197.034,19460.721,14.6,1.4
"FC_OTH_HH_E","KTOE","PT",2018-01-01,1045.441,0,57.376,230.7,2877.758,36.3,10
"FC_OTH_HH_E","KTOE","RO",2018-01-01,3028.091,3.575,0,0,7775.08,38.9,0
"FC_OTH_HH_E","KTOE","SE",2018-01-01,819.061,0,10.915,0,7490.34,10.9,0.1
"FC_OTH_HH_E","KTOE","SI",2018-01-01,484.433,0,10.578,38.12,1084.519,44.7,4.5
"FC_OTH_HH_E","KTOE","SK",2018-01-01,45.896,0,6.401,0,2057.519,2.2,0.3
"FC_OTH_HH_E","KTOE","AT",2017-01-01,2063.887,0,121.636,148.266,6955.601,29.7,3.9
"FC_OTH_HH_E","KTOE","BE",2017-01-01,666.224,0,24.205,59.327,8180.798,8.1,1
"FC_OTH_HH_E","KTOE","BG",2017-01-01,769.585,0,9.971,0,2318.716,33.2,0.4
"FC_OTH_HH_E","KTOE","CY",2017-01-01,83.835,1.55,59.684,0,345.146,24.3,17.7
"FC_OTH_HH_E","KTOE","CZ",2017-01-01,1942.039,0,13.632,117.527,7202.965,27,1.8
"FC_OTH_HH_E","KTOE","DE",2017-01-01,7641.757,27.802,645.577,988.679,56542.893,13.5,2.9
"FC_OTH_HH_E","KTOE","DK",2017-01-01,1136.172,0,12.119,152.053,4496.294,25.3,3.7
"FC_OTH_HH_E","KTOE","EE",2017-01-01,390.418,0,0,0,940.914,41.5,0
"FC_OTH_HH_E","KTOE","EL",2017-01-01,1063.379,0,259.936,61.563,4413.305,24.1,7.3
"FC_OTH_HH_E","KTOE","ES",2017-01-01,2917.917,10.653,246.405,122.385,14619.429,20,2.6
